"","cancer_study_id","name","description"
"1","paac_jhu_2014","Acinar Cell Carcinoma of the Pancreas (Johns Hopkins, J Pathol 2014)","Mutation data from whole exome sequencing of 23 surgically resected pancreatic carcinomas with acinar differentiation."
"2","laml_tcga_pub","Acute Myeloid Leukemia (TCGA, NEJM 2013)","TCGA Acute Myeloid Leukemia, analysis of 200 adult cases; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=LAML&diseaseName=Acute%20Myeloid%20Leukemia"">NCI</A>."
"3","laml_tcga","Acute Myeloid Leukemia (TCGA, Provisional)","TCGA Acute Myeloid Leukemia; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"4","acyc_fmi_2014","Adenoid Cystic Carcinoma (FMI, Am J Surg Pathl. 2014)","Comprehensive genomic profiling of 28 metastatic ACCs."
"5","acyc_mda_2015","Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)","WGS of 21 salivary ACCs and targeted molecular analyses of a validation set (81 patients)."
"6","acyc_mskcc_2013","Adenoid Cystic Carcinoma (MSKCC, Nat Genet 2013)","Exome profiling of 60 adenoid cystic carcinoma samples"
"7","acyc_sanger_2013","Adenoid Cystic Carcinoma (Sanger/MDA, JCI 2013)","Whole exome sequencing of 24 ACCs."
"8","acbc_mskcc_2015","Adenoid Cystic Carcinoma of the Breast (MSKCC, J Pathol. 2015)","Whole exome sequencing of 12 breast AdCCs."
"9","acc_tcga","Adrenocortical Carcinoma (TCGA, Provisional)","TCGA Adrenocortical Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"10","blca_mskcc_solit_2014","Bladder Cancer (MSKCC, Eur Urol 2014)","Genomic Predictors of Survival in Patients with High-grade Urothelial Carcinoma of the Bladder. Targeted sequencing of 109 tumor samples (MSKCC, European Urology 2014)."
"11","blca_mskcc_solit_2012","Bladder Cancer (MSKCC, JCO 2013)","Comprehensive profiling of 97 bladder cancer samples, including targeted sequencing of 15 cancer genes. Iyer et al., JCO in press."
"12","blca_plasmacytoid_mskcc_2016","Bladder Cancer, Plasmacytoid Variant (MSKCC, Nat Genet 2016)","Genomic profiling of plasmacytoid-variant (signet ring cell) tumors of the bladder, published set"
"13","blca_bgi","Bladder Urothelial Carcinoma (BGI, Nat Genet 2013)","Exome and whole-genome sequencing of 99 bladder cancer samples. Generated by BGI."
"14","blca_dfarber_mskcc_2014","Bladder Urothelial Carcinoma (Dana Farber & MSKCC, Cancer Discov 2014)","Whole exome sequencing of 50 patients with muscle invasive urothelial carcinoma"
"15","blca_tcga_pub","Bladder Urothelial Carcinoma (TCGA, Nature 2014)","TCGA Bladder Cancer, containing 131 samples; raw data at the NCI."
"16","blca_tcga","Bladder Urothelial Carcinoma (TCGA, Provisional)","TCGA Bladder Urothelial Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"17","lgg_tcga","Brain Lower Grade Glioma (TCGA, Provisional)","TCGA Brain Lower Grade Glioma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"18","brca_metabric","Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)","The genomic profiles (somatic mutations [targeted sequencing], copy number alterations, and gene expression) of 2509 breast cancers."
"19","brca_bccrc","Breast Invasive Carcinoma (British Columbia, Nature 2012)","Comprehensive profiling of 65 breast cancer samples. Generated by the British Columbia Cancer Research Centre."
"20","brca_broad","Breast Invasive Carcinoma (Broad, Nature 2012)","Comprehensive profiling of 103 breast cancer samples. Generated by the Broad Institute."
"21","brca_sanger","Breast Invasive Carcinoma (Sanger, Nature 2012)","Comprehensive profiling of 100 breast cancer samples. Generated by the Sanger Institute."
"22","brca_tcga_pub2015","Breast Invasive Carcinoma (TCGA, Cell 2015)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 817 cases (TCGA Cell 2015)."
"23","brca_tcga_pub","Breast Invasive Carcinoma (TCGA, Nature 2012)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 825 cases.<br><i>Nature 2012.</i> <a href=""https://tcga-data.nci.nih.gov/docs/publications/brca_2012/"">Raw data via the TCGA Data Portal</a>."
"24","brca_tcga","Breast Invasive Carcinoma (TCGA, Provisional)","TCGA Breast Invasive Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"25","brca_bccrc_xenograft_2014","Breast cancer patient xenografts (British Columbia, Nature 2014)","Dynamics of genomic clones in breast cancer patient xenografts."
"26","cellline_ccle_broad","Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)","Cancer Cell Line Encyclopedia from the Broad Institute and Novartis, containing 883 samples; raw data at the <A HREF=""http://www.broadinstitute.org/ccle/data/browseData?conversationPropagation=begin"">CCLE</A>."
"27","cesc_tcga","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)","TCGA Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"28","chol_nccs_2013","Cholangiocarcinoma (National Cancer Centre of Singapore, Nat Genet 2013)","Exome sequencing of 15 cholangiocarcinoma cases from the National Cancer Centre of Singapore to study the somatic mutations."
"29","chol_nus_2012","Cholangiocarcinoma (National University of Singapore, Nat Genet 2012)","Exome Sequencing for Opisthorchis viverrini-related cholangiocarcinoma in 8 O.viverrini-related tumors and matched normal tissue."
"30","chol_tcga","Cholangiocarcinoma (TCGA, Provisional)","TCGA Cholangiocarcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"31","lcll_broad_2013","Chronic Lymphocytic Leukemia (Broad, Cell 2013)","Exome sequencing of 160 CLL samples. Generated by the Broad Institute."
"32","cll_iuopa_2015","Chronic Lymphocytic Leukemia (IUOPA, Nature 2015)","Mutation data from whole-genome or whole-exome sequencing (WGS/WXS) of 428 CLL, 54 MBL, and 24 SLL samples."
"33","ccrcc_utokyo_2013","Clear Cell Renal Cell Carcinoma (U Tokyo, Nat Genet 2013)","Mutation data from whole genome and/or whole exome sequencing of 106 clear-cell renal cell carcinoma samples."
"34","coadread_dfci_2016","Colorectal Adenocarcinoma (DFCI, Cell Reports 2016)","Whole-exome sequencing of 619 colorectal cancers with clinicopathologic annotations."
"35","coadread_genentech","Colorectal Adenocarcinoma (Genentech, Nature 2012)","Comprehensive profiling of 72 colon cancer samples. Generated by Genentech."
"36","coadread_tcga_pub","Colorectal Adenocarcinoma (TCGA, Nature 2012)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Colorectal Cancer project. <br><i>Nature 2012.</i> <a href=""https://tcga-data.nci.nih.gov/docs/publications/coadread_2012/"">Raw data via the TCGA Data Portal</a>."
