"","EpisodeLines","Cumulative_episode","Season","Episode_no"
"1","(00:07) ⨂Fry: [voice-over] Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
",1,1,1
"2","(00:20) ⨂Fry: And that's how you play the game!
",1,1,1
"3","(00:22) ⨂Boy: You stink, loser!
",1,1,1
"4","(00:24) ⨂Panucci: Hey, Fry. Pizza goin' out! C'mon!!
",1,1,1
"5","(00:38) ⨂Fry: Michelle, baby! Where you going?
",1,1,1
"6","(00:41) ⨂Michelle: It's not working out, Fry. [Next to her is a guy with his arm around her. The cab pulls away.] [shouting; from cab] I put your stuff out on the sidewalk!
",1,1,1
"7","(00:46) ⨂Fry: I hate my life, I hate my life, I hate my life.
",1,1,1
"8","(00:58) ⨂Bike Thief: Happy new year!
",1,1,1
"9","(01:17) ⨂Fry: Hello? Pizza delivery for, uh ... [He reads the delivery note.] ... Icy Wiener? Aw, crud! I always thought at this point in my life I'd be the one making the crank calls! [He sits down on the chair, puts his feet on the desk and opens a can of beer.] Here's to another lousy millennium.
",1,1,1
"10","(01:36) ⨂Crowd: [chanting] Ten!
",1,1,1
"11","(01:37) ⨂Crowd: [chanting] Neuf!
",1,1,1
"12","(01:38) ⨂Crowd: [chanting] Otto!
",1,1,1
"13","(01:39) ⨂Crowd: [chanting] Saba!
",1,1,1
"14","(01:40) ⨂Crowd: [chanting] Eksi!
",1,1,1
"15","(01:41) ⨂Crowd: [chanting] Wu!
",1,1,1
"16","(01:43) ⨂Crowd: [chanting] Char!
",1,1,1
"17","(01:44) ⨂Crowd: [chanting] Thathu!
",1,1,1
"18","(01:45) ⨂Crowd: [chanting] Nee!
",1,1,1
"19","(01:46) ⨂Crowd: [chanting] One!
",1,1,1
"20","(01:55) ⨂Fry: What the--?
",1,1,1
"21","(02:46) ⨂Fry: My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!
",1,1,1
"22","(03:32) ⨂Terry: [melodramatically] Welcome to the world of tomorrow!
",1,1,1
"23","(03:36) ⨂Lou: Why do you always have to say it that way?
",1,1,1
"24","(03:38) ⨂Terry: Haven't you ever heard of a little thing called showmanship? [He turns to Fry.] [dramatically] Come, your destiny awaits!
",1,1,1
"25","(03:47) ⨂Lou: Have a nice future.
",1,1,1
"26","(03:50) ⨂Fry: Cool! Just like in Star Trek! [The door closes on his head.] Ow!
",1,1,1
"27","(03:53) ⨂Leela: Good afternoon, sir. [Fry is impressed with what he sees. Leela turns around. She has one huge eye in the middle of her face. Fry screams.] Name?
",1,1,1
"28","(03:59) ⨂Fry: Uh, Fry.
",1,1,1
