Task Name,Project,Start Date,End Date
Annual Leave,Other,20/07/18,24/07/18
Bst3.0 and Klenow treatment of 200ng BS-DNA/ NTC,Adaptase Multiplexing,17/07/18,18/07/18
Adaptase Rxn and WGA ,Adaptase Multiplexing,18/07/18,20/07/18
qPCR based on barcodes to demultiplex,Adaptase Multiplexing,25/07/18,26/07/18
Labbook and Data presentation,Adaptase Multiplexing,26/07/18,28/07/18
5' Extension of Dilution series of DNA ,Adaptase [DNA] Titration,30/07/18,31/07/18
Adaptase and WGA (as qPCR) of Dilution Series,Adaptase [DNA] Titration,31/07/18,01/08/18
RO1 TC,Other,31/07/18,01/08/18
Design Adaptase Oligo's with Single Indexes and BCs,Other,26/07/18,27/07/18
Single Cell Proteinase K Lysis,Adaptase Single Cell,01/08/18,02/08/18
Single Cell BS Conversion,Adaptase Single Cell,02/08/18,03/08/18
5' Extension of Single Cells,Adaptase Single Cell,03/08/18,04/08/18
Multiplexed Adaptase Reaction and WGA (qPCR),Adaptase Single Cell,06/08/18,08/08/18
Demultiplex SCs by qPCR assays,Adaptase Single Cell,08/08/18,10/08/18
Ligate GB Adapters to MseI pUC19 DNA,T7 Ligation Principal,25/07/18,26/07/18
T7 Runoff with Gel,T7 Ligation Principal,26/07/18,28/07/18
Write a Colloquium Abstract (for GB review),Other,25/07/18,07/08/18
