user_id,ad_id,clm_session_id,category_id,platform,survive,escape,quick_process,getting_inspired,structured_process,boost_my_cv,quick_scan,prove_to_self,compare_options,rich_data,unbiased_information,dry_data,clear_job_information,human_verification,head_start,treated_with_respect,standing_out,present_real_me,manage_insecurity,being_informed,learn_from_process,rank_values,rank_money,rank_stability,rank_atmosphere,rank_balance,rank_happiness,rank_development,rank_promotion,rank_freedom,values,money,stability,atmosphere,balance,happiness,development,promotion,freedom,missed_interview,satisfaction,shortcutter,survivor,dreamer,prepared,perfect,believer,no_persona,top_persona
NA,559049799,6ad1a391-c185-459b-93a9-405937800712,1429,Desktop,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,7,3,8,9,2,6,5,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,survivor
21266565,554112099,9c8fc8fb-120a-4343-8823-f1887ec67449,64,Desktop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,2,1,3,6,9,5,4,8,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,perfect
466434494,560333784,0cfef4a5-d381-4bb6-86be-7585ce8268b4,1435,Desktop,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,3,1,7,6,9,4,5,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,believer
327449132,558376188,09c1f2dd-9170-435e-bad1-9aa8a6de91af,163,Desktop,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,8,9,5,6,2,4,7,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,survivor
50779897,258372561,5c66f5ce-64dc-4f44-9721-1dc9108991ee,164,Desktop,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,9,2,7,4,3,5,6,8,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,prepared
36331879,505373260,79101e5c-57f4-4e8c-96ed-480a2b30e8ad,64,Desktop,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,5,1,2,3,7,6,9,8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,shortcutter
28383583,556067825,7a808d0c-3611-4269-afaf-d8bda011d667,1447,Desktop,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,7,1,6,5,8,2,4,3,9,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
37445739,542149971,9357705d-bbbb-4997-8b89-cae70ff6253c,163,Desktop,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,1,5,2,8,7,3,4,9,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,survivor
41080523,518678307,fe2bebc4-e4f5-4ba3-83f6-8aab5d3229a1,1421,Desktop,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,4,1,3,2,5,6,9,8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,survivor
254757035,510319700,6de55ea7-e753-4eb4-8d2d-b579b06aae88,1421,Desktop,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,7,8,6,2,3,9,5,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,survivor
246264381,544936393,ba525142-7f62-4530-ae0a-7eed1639bae9,1481,Desktop,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,6,2,7,1,8,4,9,5,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,believer
80480365,508420914,ab69e5d4-0742-41df-9bca-edd576998c81,1445,Desktop,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,1,9,7,4,6,3,2,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,believer
4486611,560359493,03849958-ac2e-4c26-92f8-f942cb09974d,1421,Desktop,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5,8,9,6,7,2,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,believer
