,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,True
1,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False
2,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False
3,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,False
4,False,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False
5,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True
6,False,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False
7,False,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False
8,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False
9,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
10,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True
11,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False
12,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False
13,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True
14,False,True,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,False,False,False
15,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,True,False,False
16,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False
17,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False
18,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False
19,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,True,True
20,True,True,False,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True
21,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False
22,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,True
23,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False
24,False,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False
25,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,False
26,False,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False
27,False,True,False,False,True,False,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False
28,False,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False
29,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False
30,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False
31,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True
32,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False
33,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True
34,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,True
35,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,False
36,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,False,True
37,False,True,False,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False
38,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False
39,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False
40,False,False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,True,True,False
41,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False
42,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False
43,False,True,False,False,True,False,True,False,True,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False
44,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
45,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True
46,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False
